,Bildtitel,Bildtitel: sorbisch,Nummer des Digitalisats,Fotograf,Bildbeschreibung,Ort sorbisch / Ort deutsch,Bildrechteinhaber,Größe der Original- bzw. Digitalisierungsvorlage,Datum der Aufnahme,Bundesland
87,Frau am Spulrad,Žona při sukadle,bz_hei-kb_0016763.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,um 1952,Sachsen
88,Frau bei der Flachbearbeitung am Schwingeblock,Žona při woćepawje wobdźěła len,bz_hei-kb_0016769.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,um 1952,Sachsen
89,Frau bei der Flachbearbeitung am Flachhechel,"Žona wochluje len. Flachshechel (wochla, wochlica)",bz_hei-kb_0016772.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,um 1953,Sachsen
90,Frau beim Abspulen,Žona při wotwiwanju,bz_hei-kb_0016786.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,um 1952,Sachsen
91,Frau bei der Flachbearbeitung an der  Flachsbreche,Žona při wobdźěłanju lena na ćedlicy/ćerlicy,bz_hei-kb_0016779.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,um 1952,Sachsen
92,Frau in Hoyerswerdaer Tracht am Spinnrad,Žona předźe na kołróće,bz_hei-kb_0016788.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,um 1953,Sachsen
93,Frauen in Hoyerswerdaer Tracht am Spinnrad,Žony přadu na kołróće,bz_hei-kb_0016778_karte.jpg,"Heine, Kurt",,wokoło Wojerecy / um Hoyerswerda,Sorbisches Institut Bautzen,,,Sachsen
94,Frau und Mädchen in Schleifer Tracht an einem Spinnrad,Slepjanki při předźenju pola Wěrikec w Rownom,bz_si-a_0000607.jpg,"Heine, Kurt",,Rowno / Rohne,Sorbisches Institut Bautzen,,um 1950,Sachsen
95,Frau und Mädchen in Schleifer Tracht an einem Spinnrad,Slepjanki při předźenju pola Wěrikec w Rownom,bz_si-a_0000606.jpg,"Heine, Kurt",,Rowno / Rohne,Sorbisches Institut Bautzen,,um 1950,Sachsen
96,"gewebtes Tuch, Leinen",,XXI 12_001.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1969,Sachsen
97,"gewebtes Tuch, Leinen",,XXI 12_002.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1970,Sachsen
98,"gewebtes Tuch, Leinen",,XXI 12_003.jpg,"Balke, Lotar",,Parcow / Groß Partwitz,Sorbisches Institut Bautzen,,um 1971,Sachsen
